fixture_id,team,player_id,player_name,minutes_played,rating,position,is_substitute,shots_total,shots_on_goal,goals_total,assists,passes_total,passes_key,passes_accuracy_pct,tackles_total,tackles_interceptions,duels_won
868032,Liverpool,306,Mohamed Salah,90.0,6,F,False,4.0,2.0,,1.0,20.0,1.0,16,,,
868032,Liverpool,302,Roberto Firmino,75.0,8,F,False,3.0,3.0,2.0,,35.0,1.0,30,,,3.0
868032,Liverpool,153066,Fabio Carvalho,45.0,6.7,F,False,,,,,23.0,,18,,1.0,3.0
868032,Liverpool,18812,Adrián,,,G,True,,,,,,,,,,
868032,Liverpool,284,Joe Gomez,,,D,True,,,,,,,,,,
868032,Liverpool,127472,Nathaniel Phillips,,,D,True,,,,,,,,,,
868032,Liverpool,150,Arthur,,,M,True,,,,,,,,,,
868032,Liverpool,296,James Milner,31.0,6.2,M,True,,,,,18.0,,13,,,
868032,Liverpool,19035,Harvey Elliott,31.0,6.7,M,True,1.0,,,,15.0,1.0,14,,,
868032,Liverpool,51617,Darwin Núñez,1.0,,F,True,1.0,,,,2.0,,,,,1.0
868032,Liverpool,2678,Diogo Jota,15.0,6.3,F,True,,,,,6.0,,4,1.0,,1.0
868032,Liverpool,2489,Luis Díaz,45.0,7,F,True,,,,1.0,22.0,1.0,17,1.0,,5.0
868032,Brighton,18959,Robert Sánchez,90.0,6.6,G,False,,,,,38.0,,18,,,
868032,Brighton,537,Joël Veltman,90.0,6.5,D,False,,,,,36.0,,27,3.0,2.0,4.0
868032,Brighton,18963,Lewis Dunk,90.0,6.3,D,False,,,,,74.0,,64,2.0,1.0,3.0
868032,Brighton,19265,Adam Webster,90.0,6.7,D,False,,,,,63.0,,54,1.0,3.0,3.0
868032,Brighton,18973,Solly March,90.0,7.2,M,False,,,,1.0,27.0,2.0,19,3.0,1.0,6.0
868032,Brighton,6716,Alexis Mac Allister,90.0,7.3,M,False,,,,,51.0,,47,5.0,2.0,8.0
868032,Brighton,116117,Moisés Caicedo,90.0,6.9,M,False,,,,,59.0,,53,2.0,1.0,3.0
868032,Brighton,46731,Pervis Estupiñán,76.0,7.3,M,False,,,,,30.0,1.0,21,5.0,2.0,7.0
868032,Brighton,18970,Pascal Groß,65.0,6.3,F,False,,,,,29.0,,20,,,1.0
868032,Brighton,1946,Leandro Trossard,87.0,8.9,F,False,4.0,4.0,3.0,,23.0,,15,,1.0,1.0
868032,Brighton,1469,Danny Welbeck,90.0,6.7,F,False,2.0,2.0,,1.0,13.0,2.0,11,1.0,,2.0
868032,Brighton,18960,Jason Steele,,,G,True,,,,,,,,,,
868032,Brighton,152953,Levi Colwill,,,D,True,,,,,,,,,,
868032,Brighton,138815,Tariq Lamptey,9.0,6.3,D,True,,,,,1.0,,,,,
868032,Brighton,130423,Billy Gilmour,,,M,True,,,,,,,,,,
868032,Brighton,106835,Kaoru Mitoma,25.0,6.9,M,True,,,,,8.0,,6,1.0,1.0,4.0
868032,Brighton,295,Adam Lallana,14.0,6.3,M,True,,,,,8.0,,4,,,1.0
868032,Brighton,202086,Jeremy Sarmiento,,,F,True,,,,,,,,,,
868032,Brighton,70747,Julio Enciso,,,F,True,,,,,,,,,,
868032,Brighton,26475,Deniz Undav,,,F,True,,,,,,,,,,
868034,Southampton,105971,Gavin Bazunu,90.0,6.3,G,False,,,,,30.0,,20,,,
868034,Southampton,171,Kyle Walker-Peters,90.0,6,D,False,1.0,1.0,,,41.0,2.0,26,,2.0,4.0
868034,Southampton,25061,Armel Bella-Kotchap,90.0,7.2,D,False,2.0,,,,49.0,,41,2.0,2.0,10.0
868034,Southampton,1902,Duje Ćaleta-Car,90.0,6.6,D,False,2.0,1.0,,,64.0,1.0,55,1.0,1.0,1.0
868034,Southampton,284264,Juan Larios,60.0,6.3,D,False,,,,,19.0,,15,2.0,1.0,4.0
868034,Southampton,18945,Stuart Armstrong,89.0,7.3,M,False,1.0,1.0,,,47.0,2.0,41,3.0,,5.0
868034,Southampton,2938,James Ward-Prowse,90.0,7.3,M,False,,,,,69.0,2.0,64,2.0,1.0,2.0
868034,Southampton,1456,Ainsley Maitland-Niles,67.0,6.3,M,False,,,,,29.0,,21,3.0,,3.0
868034,Southampton,19825,Joe Aribo,90.0,7.9,M,False,1.0,1.0,1.0,,34.0,1.0,23,5.0,,10.0
868034,Southampton,190686,Sékou Mara,60.0,6.9,F,False,2.0,,,,7.0,1.0,6,2.0,,3.0
868034,Southampton,19524,Che Adams,90.0,6.6,F,False,2.0,,,1.0,24.0,3.0,20,1.0,,8.0
868034,Southampton,18935,Alex McCarthy,,,G,True,,,,,,,,,,
868034,Southampton,47480,Mohammed Salisu,,,D,True,,,,,,,,,,
868034,Southampton,20600,Romain Perraud,30.0,6.3,D,True,,,,,17.0,1.0,15,,1.0,
868034,Southampton,2114,Moussa Djenepo,,,M,True,,,,,,,,,,
868034,Southampton,18769,Theo Walcott,,,F,True,,,,,,,,,,
868034,Southampton,18946,Mohamed Elyounoussi,9.0,6.7,M,True,,,,,1.0,,1,,,
868034,Southampton,20557,Ibrahima Diallo,,,M,True,,,,,,,,,,
868034,Southampton,19484,Adam Armstrong,30.0,7.3,F,True,4.0,2.0,,,11.0,1.0,11,1.0,,1.0
868034,Southampton,278085,Samuel Edozie,23.0,6.3,F,True,,,,,3.0,1.0,3,,,1.0
868034,Everton,2932,Jordan Pickford,90.0,7.6,G,False,,,,,34.0,,25,,,2.0
868034,Everton,18758,Séamus Coleman,90.0,7.2,D,False,,,,,34.0,1.0,26,,2.0,4.0
868034,Everton,18741,Conor Coady,90.0,7.5,D,False,1.0,1.0,1.0,,36.0,,29,,,3.0
868034,Everton,2936,James Tarkowski,90.0,7,D,False,,,,,39.0,,30,1.0,1.0,5.0
868034,Everton,2165,Vitaliy Mykolenko,90.0,7.5,D,False,,,,,34.0,1.0,28,5.0,3.0,7.0
868034,Everton,162714,Amadou Onana,74.0,7,M,False,1.0,,,1.0,24.0,1.0,19,1.0,,5.0
